sale_id,customer_id,product_id,quantity,sale_date
S00001,C461,P017,2,2025-08-12
S00002,C094,P008,4,2025-06-28
S00003,C953,P001,4,2025-01-28
S00004,C406,P017,3,2025-05-01
S00005,C396,P003,3,2025-04-25
S00006,C029,P011,1,2025-11-29
S00007,C344,P005,2,2025-01-20
S00008,C294,P016,2,2025-12-28
S00009,C481,P015,5,2025-01-03
S00010,C928,P003,1,2025-05-12
S00011,C221,P005,5,2025-11-08
S00012,C541,P014,1,2025-05-28
S00013,C244,P010,1,2025-01-25
S00014,C245,P014,5,2025-08-23
S00015,C065,P004,4,2025-11-02
S00016,C549,P001,5,2025-10-22
S00017,C248,P001,2,2025-05-30
S00018,C440,P001,5,2025-06-30
S00019,C247,P019,4,2025-04-06
S00020,C681,P022,1,2025-09-26
S00021,C999,P012,1,2025-09-27
S00022,C558,P017,5,2025-10-11
S00023,C021,P013,4,2025-01-23
S00024,C651,P013,3,2025-05-10
S00025,C766,P001,3,2025-02-04
S00026,C354,P008,1,2025-10-25
S00027,C753,P011,2,2025-01-23
S00028,C361,P018,3,2025-11-26
S00029,C180,P022,4,2025-12-23
S00030,C491,P021,2,2025-03-11
S00031,C065,P001,4,2025-01-19
S00032,C301,P007,1,2025-04-13
S00033,C908,P002,3,2025-06-08
S00034,C528,P013,5,2025-08-31
S00035,C260,P002,2,2025-05-27
S00036,C366,P002,3,2025-05-20
S00037,C128,P012,4,2025-07-24
S00038,C762,P015,4,2025-06-23
S00039,C998,P006,4,2025-12-21
S00040,C510,P012,5,2025-05-17
S00041,C821,P003,4,2025-02-10
S00042,C441,P020,2,2025-10-07
S00043,C301,P011,1,2025-02-10
S00044,C336,P022,3,2025-06-06
S00045,C457,P020,4,2025-03-27
S00046,C707,P015,3,2025-08-17
S00047,C044,P012,5,2025-08-11
S00048,C282,P021,1,2025-02-08
S00049,C688,P021,4,2025-07-06
S00050,C526,P022,2,2025-01-16
S00051,C147,P020,4,2025-01-18
S00052,C130,P003,2,2025-11-27
S00053,C376,P012,4,2025-10-18
S00054,C034,P020,2,2025-12-14
S00055,C461,P012,3,2025-08-16
S00056,C782,P003,5,2025-03-12
S00057,C543,P012,4,2025-06-10
S00058,C666,P009,2,2025-02-28
S00059,C027,P006,4,2025-09-23
S00060,C397,P018,1,2025-05-15
S00061,C794,P009,4,2025-04-20
S00062,C627,P010,4,2025-04-13
S00063,C126,P005,1,2025-08-20
S00064,C177,P001,4,2025-02-14
S00065,C830,P022,3,2025-12-08
S00066,C356,P001,1,2025-10-09
S00067,C556,P010,3,2025-03-22
S00068,C729,P001,2,2025-07-05
S00069,C521,P008,1,2025-04-13
S00070,C812,P005,2,2025-09-10
S00071,C027,P012,5,2025-10-21
S00072,C378,P015,5,2025-03-08
S00073,C627,P003,1,2025-06-08
S00074,C408,P001,4,2025-09-27
S00075,C421,P014,5,2025-02-07
S00076,C129,P011,1,2025-08-19
S00077,C478,P022,5,2025-06-26
S00078,C132,P018,5,2025-04-04
S00079,C787,P005,4,2025-09-15
S00080,C933,P002,1,2025-09-23
S00081,C157,P010,2,2025-03-24
S00082,C331,P001,2,2025-06-27
S00083,C971,P017,3,2025-02-10
S00084,C257,P007,5,2025-05-21
S00085,C129,P021,3,2025-11-11
S00086,C547,P003,5,2025-11-25
S00087,C173,P019,5,2025-03-20
S00088,C176,P022,5,2025-11-06
S00089,C346,P019,1,2025-01-15
